text,sentiment_compound,sentiment_label,distortion_always_negative,distortion_expecting_worst,distortion_blaming_yourself,distortion_assuming_others,distortion_all_or_nothing,consecutive_negative_days,risk_level
"If it's not perfect, it's a total failure.",-0.336,Negative,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",0.043,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.089,Neutral,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",0.047,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.032,Neutral,0,0,0,0,0,6,Medium
Things are getting better step by step.,0.365,Positive,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.15,Negative,0,0,0,0,0,1,Low
Things are getting better step by step.,0.592,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.375,Negative,0,0,0,1,0,5,Medium
"I guess today was okay, just normal.",0.095,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.037,Neutral,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.214,Negative,0,0,0,1,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.768,Negative,1,1,1,0,0,4,High
I had a good time with my friends.,0.862,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.025,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.029,Neutral,0,0,0,0,0,4,Medium
"I feel great today, everything went well.",0.135,Positive,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.785,Negative,0,1,1,1,0,6,High
It's my fault they are mad at me.,-0.89,Negative,1,1,1,0,0,7,High
"I guess today was okay, just normal.",-0.033,Neutral,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.926,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.748,Negative,1,0,1,0,1,4,High
"I guess today was okay, just normal.",-0.097,Neutral,0,0,0,0,0,3,Medium
It's my fault they are mad at me.,-0.512,Negative,0,0,0,1,0,7,Medium
It's my fault they are mad at me.,-0.335,Negative,0,0,0,0,0,3,Medium
"I feel great today, everything went well.",0.331,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.339,Negative,1,0,1,1,0,2,Medium
I had a good time with my friends.,0.339,Positive,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.324,Negative,0,0,0,1,0,5,Medium
"I guess today was okay, just normal.",0.055,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.092,Neutral,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.542,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.005,Neutral,0,0,0,0,0,0,Low
"Nothing matters anymore, it's all ruined.",-0.603,Negative,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",0.012,Neutral,0,0,0,0,0,0,Low
Things are getting better step by step.,0.673,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.335,Negative,0,0,1,0,0,5,Medium
"I guess today was okay, just normal.",-0.06,Neutral,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.087,Neutral,0,0,0,0,0,3,Medium
"If it's not perfect, it's a total failure.",-0.468,Negative,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",-0.062,Neutral,0,0,0,0,0,5,Medium
"If it's not perfect, it's a total failure.",-0.312,Negative,0,0,1,0,0,1,Medium
It's my fault they are mad at me.,-0.313,Negative,1,0,1,1,0,7,Medium
Things are getting better step by step.,0.695,Positive,0,0,0,0,0,0,Low
I am so stressed and tired of this.,-0.262,Negative,0,0,0,1,0,5,Medium
"I guess today was okay, just normal.",-0.03,Neutral,0,0,0,0,0,4,Medium
It's my fault they are mad at me.,-0.352,Negative,0,0,0,0,0,1,Medium
Things are getting better step by step.,0.352,Positive,0,0,0,0,0,2,Medium
They probably think I'm stupid.,-0.911,Negative,1,0,0,0,0,1,Medium
They probably think I'm stupid.,-0.149,Negative,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.344,Negative,1,0,0,0,0,3,Medium
"I guess today was okay, just normal.",-0.023,Neutral,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.055,Neutral,0,0,0,0,0,7,Medium
"I feel great today, everything went well.",0.59,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.077,Neutral,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",0.018,Neutral,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.689,Negative,1,0,1,0,1,4,High
I had a good time with my friends.,0.36,Positive,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.535,Negative,1,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.045,Neutral,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.325,Positive,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.165,Negative,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",0.063,Neutral,0,0,0,0,0,0,Low
It's my fault they are mad at me.,-0.177,Negative,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.012,Neutral,0,0,0,0,0,3,Medium
"I feel great today, everything went well.",0.105,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.643,Positive,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.431,Negative,1,1,0,0,0,4,Medium
"I guess today was okay, just normal.",0.087,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.003,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.0,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.091,Neutral,0,0,0,0,0,7,Medium
"I feel great today, everything went well.",0.549,Positive,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.332,Negative,0,0,1,0,0,4,Medium
It's my fault they are mad at me.,-0.163,Negative,0,0,0,0,0,4,Medium
"I feel great today, everything went well.",0.602,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.455,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.016,Neutral,0,0,0,0,0,3,Medium
"Nothing matters anymore, it's all ruined.",-0.129,Negative,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.011,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.217,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.964,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.283,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.709,Positive,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.979,Negative,0,0,0,0,1,6,Medium
They probably think I'm stupid.,-0.354,Negative,1,0,1,0,0,4,Medium
I had a good time with my friends.,0.83,Positive,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.821,Negative,1,0,1,1,1,3,High
"I feel great today, everything went well.",0.375,Positive,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.355,Negative,0,0,0,0,0,5,Medium
"I feel great today, everything went well.",0.22,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.097,Neutral,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.981,Negative,1,0,0,0,0,6,Medium
"I guess today was okay, just normal.",0.064,Neutral,0,0,0,0,0,1,Low
I had a good time with my friends.,0.28,Positive,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.314,Negative,0,0,0,0,0,6,Medium
Things are getting better step by step.,0.968,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.058,Neutral,0,0,0,0,0,7,Medium
It's my fault they are mad at me.,-0.74,Negative,0,0,0,0,1,5,Medium
"I guess today was okay, just normal.",-0.054,Neutral,0,0,0,0,0,3,Medium
They probably think I'm stupid.,-0.174,Negative,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.064,Neutral,0,0,0,0,0,3,Medium
They probably think I'm stupid.,-0.848,Negative,0,1,0,0,0,1,Medium
I am so stressed and tired of this.,-0.214,Negative,0,0,1,0,0,5,Medium
They probably think I'm stupid.,-0.881,Negative,0,1,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.507,Negative,1,0,1,0,0,7,High
Things are getting better step by step.,0.556,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.156,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.697,Positive,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.673,Negative,0,0,1,0,1,3,High
It's my fault they are mad at me.,-0.408,Negative,0,0,0,1,0,6,Medium
"I feel great today, everything went well.",0.812,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.008,Neutral,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.671,Negative,1,1,1,0,0,6,High
"I guess today was okay, just normal.",-0.067,Neutral,0,0,0,0,0,6,Medium
I am so stressed and tired of this.,-0.216,Negative,0,0,0,1,0,7,Medium
Things are getting better step by step.,0.385,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.111,Positive,0,0,0,0,0,0,Low
"I will never succeed, this always happens.",-0.144,Negative,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.447,Negative,1,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.809,Negative,1,1,1,0,0,1,Medium
I had a good time with my friends.,0.998,Positive,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.435,Negative,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",-0.093,Neutral,0,0,0,0,0,7,Medium
"Nothing matters anymore, it's all ruined.",-0.957,Negative,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",0.042,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.07,Neutral,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.183,Negative,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.339,Negative,0,0,0,1,0,7,Medium
"I guess today was okay, just normal.",-0.051,Neutral,0,0,0,0,0,3,Medium
It's my fault they are mad at me.,-0.263,Negative,0,0,0,0,0,4,Medium
"I feel great today, everything went well.",0.448,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.735,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.047,Neutral,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",0.067,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.079,Neutral,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.985,Negative,1,1,1,1,0,6,High
"Nothing matters anymore, it's all ruined.",-0.588,Negative,0,0,0,1,0,4,Medium
"I feel great today, everything went well.",0.461,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.046,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.983,Positive,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.625,Negative,0,0,0,1,0,5,Medium
They probably think I'm stupid.,-0.194,Negative,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.853,Negative,0,1,0,0,0,2,Medium
They probably think I'm stupid.,-0.379,Negative,0,0,0,1,0,4,Medium
I had a good time with my friends.,0.303,Positive,0,0,0,0,0,0,Low
They probably think I'm stupid.,-0.314,Negative,1,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.009,Neutral,0,0,0,0,0,3,Medium
"I will never succeed, this always happens.",-0.944,Negative,1,1,1,0,0,3,High
Things are getting better step by step.,0.223,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.24,Negative,0,0,1,0,0,2,Medium
"If it's not perfect, it's a total failure.",-0.112,Negative,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",0.098,Neutral,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.959,Negative,1,1,0,0,0,6,High
It's my fault they are mad at me.,-0.1,Negative,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.751,Negative,0,0,1,0,1,3,High
"If it's not perfect, it's a total failure.",-0.944,Negative,0,0,1,0,0,6,Medium
I had a good time with my friends.,0.554,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.697,Positive,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.907,Negative,1,1,0,0,1,4,High
It's my fault they are mad at me.,-0.867,Negative,0,0,0,0,0,6,Medium
I am so stressed and tired of this.,-0.776,Negative,1,0,0,0,0,4,Medium
Things are getting better step by step.,0.902,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.078,Neutral,0,0,0,0,0,2,Medium
"If it's not perfect, it's a total failure.",-0.542,Negative,1,1,0,0,1,5,High
"I guess today was okay, just normal.",-0.051,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.096,Neutral,0,0,0,0,0,4,Medium
"I feel great today, everything went well.",0.137,Positive,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.684,Negative,0,0,0,0,0,1,Medium
I had a good time with my friends.,0.356,Positive,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.142,Negative,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.027,Neutral,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.048,Neutral,0,0,0,0,0,1,Low
Things are getting better step by step.,0.865,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.06,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.053,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.075,Neutral,0,0,0,0,0,0,Low
Things are getting better step by step.,0.862,Positive,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.841,Negative,1,0,0,0,0,5,Medium
"I feel great today, everything went well.",0.829,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.092,Neutral,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.823,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.079,Neutral,0,0,0,0,0,7,Medium
I had a good time with my friends.,0.155,Positive,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.475,Negative,1,1,0,0,0,3,Medium
"I feel great today, everything went well.",0.552,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.591,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.074,Neutral,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.579,Negative,1,1,1,0,0,7,High
It's my fault they are mad at me.,-0.417,Negative,1,1,1,0,0,6,Medium
They probably think I'm stupid.,-0.799,Negative,1,1,0,1,1,5,High
I had a good time with my friends.,0.625,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.291,Positive,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.376,Negative,1,0,0,0,0,5,Medium
I had a good time with my friends.,0.24,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.62,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.005,Neutral,0,0,0,0,0,3,Medium
They probably think I'm stupid.,-0.255,Negative,0,0,1,1,0,4,Medium
They probably think I'm stupid.,-0.821,Negative,0,0,0,0,1,6,Medium
I had a good time with my friends.,0.55,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.533,Positive,0,0,0,0,0,0,Low
They probably think I'm stupid.,-0.832,Negative,1,0,1,0,0,3,High
"I guess today was okay, just normal.",-0.002,Neutral,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",-0.051,Neutral,0,0,0,0,0,4,Medium
I am so stressed and tired of this.,-0.415,Negative,0,1,0,0,0,2,Medium
I am so stressed and tired of this.,-0.547,Negative,1,1,0,0,1,7,High
"I feel great today, everything went well.",0.584,Positive,0,0,0,0,0,2,Medium
"If it's not perfect, it's a total failure.",-0.89,Negative,1,0,1,1,1,2,Medium
"If it's not perfect, it's a total failure.",-0.675,Negative,0,1,1,0,1,4,High
"I guess today was okay, just normal.",-0.032,Neutral,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.067,Neutral,0,0,0,0,0,5,Medium
Things are getting better step by step.,0.862,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.411,Positive,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.508,Negative,1,1,1,0,0,7,High
"I guess today was okay, just normal.",-0.036,Neutral,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",0.033,Neutral,0,0,0,0,0,0,Low
I am so stressed and tired of this.,-0.609,Negative,1,1,0,0,0,2,Medium
"I guess today was okay, just normal.",0.053,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.838,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.055,Neutral,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.868,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.766,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.226,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.066,Neutral,0,0,0,0,0,4,Medium
They probably think I'm stupid.,-0.913,Negative,0,0,1,1,0,6,High
"I guess today was okay, just normal.",0.022,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.065,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.09,Neutral,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.053,Neutral,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.472,Negative,1,1,0,1,0,4,Medium
"I guess today was okay, just normal.",0.045,Neutral,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.749,Negative,0,0,1,0,0,7,Medium
"I feel great today, everything went well.",0.119,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.906,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.149,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.942,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.172,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.281,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.832,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.906,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.082,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.059,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.129,Positive,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.435,Negative,0,1,1,0,0,3,Medium
I had a good time with my friends.,0.634,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.668,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.473,Negative,1,0,0,0,0,3,Medium
Things are getting better step by step.,0.784,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.036,Neutral,0,0,0,0,0,2,Medium
They probably think I'm stupid.,-0.81,Negative,0,1,0,0,1,5,High
I had a good time with my friends.,0.81,Positive,0,0,0,0,0,0,Low
It's my fault they are mad at me.,-0.433,Negative,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",-0.079,Neutral,0,0,0,0,0,7,Medium
I had a good time with my friends.,0.499,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.021,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.032,Neutral,0,0,0,0,0,3,Medium
Things are getting better step by step.,0.937,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.464,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.861,Positive,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.926,Negative,1,0,0,0,1,4,High
It's my fault they are mad at me.,-0.877,Negative,0,1,0,0,0,1,Medium
"Nothing matters anymore, it's all ruined.",-0.313,Negative,0,0,0,1,0,6,Medium
"I guess today was okay, just normal.",-0.096,Neutral,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",-0.015,Neutral,0,0,0,0,0,4,Medium
"I will never succeed, this always happens.",-0.889,Negative,1,1,0,0,1,4,High
Things are getting better step by step.,0.644,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.014,Neutral,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.203,Negative,0,0,0,0,0,6,Medium
"Nothing matters anymore, it's all ruined.",-0.244,Negative,0,0,1,0,0,2,Medium
Things are getting better step by step.,0.387,Positive,0,0,0,0,0,0,Low
"Nothing matters anymore, it's all ruined.",-0.113,Negative,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",-0.052,Neutral,0,0,0,0,0,5,Medium
"If it's not perfect, it's a total failure.",-0.431,Negative,0,0,0,1,0,4,Medium
They probably think I'm stupid.,-0.376,Negative,0,0,1,1,0,7,Medium
Things are getting better step by step.,0.706,Positive,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.846,Negative,1,1,0,1,0,7,High
It's my fault they are mad at me.,-0.974,Negative,0,0,0,0,0,1,Medium
"I guess today was okay, just normal.",-0.014,Neutral,0,0,0,0,0,7,Medium
"I feel great today, everything went well.",0.604,Positive,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.178,Negative,0,0,0,0,0,7,Medium
"I feel great today, everything went well.",0.901,Positive,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.885,Negative,1,0,0,1,0,5,High
I am so stressed and tired of this.,-0.465,Negative,1,0,0,0,0,6,Medium
"I will never succeed, this always happens.",-0.893,Negative,1,0,1,0,1,6,High
"I will never succeed, this always happens.",-0.307,Negative,0,0,0,0,0,6,Medium
I am so stressed and tired of this.,-0.599,Negative,0,0,1,0,1,3,High
"I guess today was okay, just normal.",-0.088,Neutral,0,0,0,0,0,5,Medium
"I will never succeed, this always happens.",-0.313,Negative,0,0,0,0,0,6,Medium
"I feel great today, everything went well.",0.994,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.053,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.096,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.087,Neutral,0,0,0,0,0,3,Medium
"I feel great today, everything went well.",0.747,Positive,0,0,0,0,0,0,Low
It's my fault they are mad at me.,-0.47,Negative,0,0,0,0,0,6,Medium
It's my fault they are mad at me.,-0.826,Negative,0,0,0,0,1,1,Medium
Things are getting better step by step.,0.322,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.873,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.063,Neutral,0,0,0,0,0,0,Low
"If it's not perfect, it's a total failure.",-0.19,Negative,0,0,0,0,0,4,Medium
"Nothing matters anymore, it's all ruined.",-0.214,Negative,0,0,1,1,0,7,Medium
"I guess today was okay, just normal.",0.094,Neutral,0,0,0,0,0,0,Low
I am so stressed and tired of this.,-0.644,Negative,0,1,0,0,0,3,Medium
"I feel great today, everything went well.",0.108,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.003,Neutral,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.743,Negative,0,1,1,0,1,3,High
"Nothing matters anymore, it's all ruined.",-0.698,Negative,0,0,0,0,0,3,Medium
Things are getting better step by step.,0.587,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.932,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.097,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.05,Neutral,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.951,Negative,1,1,1,0,0,3,High
I had a good time with my friends.,0.396,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.267,Negative,0,0,0,1,0,4,Medium
"If it's not perfect, it's a total failure.",-0.515,Negative,1,0,1,0,0,6,High
"I feel great today, everything went well.",0.615,Positive,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.288,Negative,0,0,0,0,0,6,Medium
"If it's not perfect, it's a total failure.",-0.944,Negative,0,1,0,0,0,5,Medium
"I guess today was okay, just normal.",0.092,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.013,Neutral,0,0,0,0,0,4,Medium
I am so stressed and tired of this.,-0.451,Negative,1,1,0,0,0,3,Medium
It's my fault they are mad at me.,-0.699,Negative,0,0,0,1,0,1,Medium
"Nothing matters anymore, it's all ruined.",-0.515,Negative,1,1,0,1,0,1,Medium
"I guess today was okay, just normal.",0.078,Neutral,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.77,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.001,Neutral,0,0,0,0,0,6,Medium
"If it's not perfect, it's a total failure.",-0.446,Negative,0,0,0,1,0,4,Medium
It's my fault they are mad at me.,-0.683,Negative,1,0,0,1,1,1,Medium
"If it's not perfect, it's a total failure.",-0.536,Negative,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",0.088,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.129,Positive,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.538,Negative,1,1,0,0,0,3,High
"I will never succeed, this always happens.",-0.351,Negative,0,0,0,1,0,3,Medium
"I will never succeed, this always happens.",-0.374,Negative,0,0,1,1,0,2,Medium
"I will never succeed, this always happens.",-0.327,Negative,1,0,1,1,0,2,Medium
"I feel great today, everything went well.",0.515,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.894,Positive,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.326,Negative,0,0,1,0,0,6,Medium
Things are getting better step by step.,0.256,Positive,0,0,0,0,0,2,Medium
They probably think I'm stupid.,-0.799,Negative,1,0,0,0,1,1,Medium
I had a good time with my friends.,0.721,Positive,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.978,Negative,1,0,0,0,0,1,Medium
"I guess today was okay, just normal.",-0.066,Neutral,0,0,0,0,0,7,Medium
It's my fault they are mad at me.,-0.95,Negative,1,0,1,1,1,4,High
"I feel great today, everything went well.",0.882,Positive,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.871,Negative,0,1,1,0,1,7,High
Things are getting better step by step.,0.445,Positive,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.731,Negative,1,1,1,0,0,1,Medium
"I guess today was okay, just normal.",0.07,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.054,Neutral,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.112,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.096,Neutral,0,0,0,0,0,4,Medium
It's my fault they are mad at me.,-0.281,Negative,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.092,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.406,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.45,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.111,Positive,0,0,0,0,0,0,Low
"Nothing matters anymore, it's all ruined.",-0.802,Negative,1,0,0,0,0,1,Medium
"I guess today was okay, just normal.",-0.032,Neutral,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",0.052,Neutral,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.785,Negative,1,1,0,0,0,4,High
"I feel great today, everything went well.",0.465,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.882,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.025,Neutral,0,0,0,0,0,0,Low
I had a good time with my friends.,0.811,Positive,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.566,Negative,0,0,0,1,0,6,Medium
"I guess today was okay, just normal.",0.003,Neutral,0,0,0,0,0,2,Medium
